"rok","odvetvi","prumerna_mzda","potravina","prumerna_cena"
2006,Doprava a skladování,18993.750000000000,Konzumní brambory,12.074920000000025
2006,Doprava a skladování,18993.750000000000,Kuřata kuchaná celá,47.47375999999976
2006,Doprava a skladování,18993.750000000000,Máslo,104.38782666666654
2006,Doprava a skladování,18993.750000000000,Mléko polotučné pasterované,14.437839999999987
2006,Doprava a skladování,18993.750000000000,Mrkev,14.409266666666614
2006,Doprava a skladování,18993.750000000000,Papriky,35.31015999999995
2006,Doprava a skladování,18993.750000000000,Pečivo pšeničné bílé,38.5964266666669
2006,Doprava a skladování,18993.750000000000,"Pivo výčepní, světlé, lahvové",8.449613333333325
2006,Doprava a skladování,18993.750000000000,Pomeranče,24.733173333333262
2006,Doprava a skladování,18993.750000000000,Přírodní minerální voda uhličitá,7.687919999999991
2006,Doprava a skladování,18993.750000000000,Pšeničná mouka hladká,7.407573333333313
2006,Doprava a skladování,18993.750000000000,Rajská jablka červená kulatá,57.82961333333324
2006,Doprava a skladování,18993.750000000000,Rostlinný roztíratelný tuk,69.4521199999999
2006,Doprava a skladování,18993.750000000000,Rýže loupaná dlouhozrnná,21.28966666666666
2006,Doprava a skladování,18993.750000000000,Šunkový salám,116.77441333333321
2006,Doprava a skladování,18993.750000000000,Těstoviny vaječné,26.095533333333204
2006,Doprava a skladování,18993.750000000000,Vejce slepičí čerstvá,23.49484000000002
2006,Doprava a skladování,18993.750000000000,Vepřová pečeně s kostí,105.17778666666688
2006,Informační a komunikační činnosti,34942.000000000000,Banány žluté,27.304639999999914
2006,Informační a komunikační činnosti,34942.000000000000,Cukr krystalový,21.726613333333386
2006,Informační a komunikační činnosti,34942.000000000000,Eidamská cihla,110.94665333333316
2006,Informační a komunikační činnosti,34942.000000000000,Hovězí maso zadní bez kosti,166.33739999999972
2006,Informační a komunikační činnosti,34942.000000000000,Chléb konzumní kmínový,16.12364000000006
2006,Informační a komunikační činnosti,34942.000000000000,Jablka konzumní,30.714546666666593
2006,Informační a komunikační činnosti,34942.000000000000,Jogurt bílý netučný,5.829359999999973
2006,Informační a komunikační činnosti,34942.000000000000,Kapr živý,69.3497777777778
2006,Informační a komunikační činnosti,34942.000000000000,Konzumní brambory,12.074920000000022
2006,Informační a komunikační činnosti,34942.000000000000,Kuřata kuchaná celá,47.47375999999979
2006,Informační a komunikační činnosti,34942.000000000000,Máslo,104.38782666666644
2006,Informační a komunikační činnosti,34942.000000000000,Mléko polotučné pasterované,14.43783999999997
2006,Informační a komunikační činnosti,34942.000000000000,Mrkev,14.409266666666625
2006,Informační a komunikační činnosti,34942.000000000000,Papriky,35.31015999999997
2006,Informační a komunikační činnosti,34942.000000000000,Pečivo pšeničné bílé,38.59642666666699
2006,Informační a komunikační činnosti,34942.000000000000,"Pivo výčepní, světlé, lahvové",8.449613333333344
2006,Informační a komunikační činnosti,34942.000000000000,Pomeranče,24.733173333333312
2006,Informační a komunikační činnosti,34942.000000000000,Přírodní minerální voda uhličitá,7.687919999999996
2006,Informační a komunikační činnosti,34942.000000000000,Pšeničná mouka hladká,7.407573333333313
2006,Informační a komunikační činnosti,34942.000000000000,Rajská jablka červená kulatá,57.82961333333321
2006,Informační a komunikační činnosti,34942.000000000000,Rostlinný roztíratelný tuk,69.45211999999998
2006,Informační a komunikační činnosti,34942.000000000000,Rýže loupaná dlouhozrnná,21.289666666666655
2006,Informační a komunikační činnosti,34942.000000000000,Šunkový salám,116.774413333333
2006,Informační a komunikační činnosti,34942.000000000000,Těstoviny vaječné,26.09553333333318
